epsilon; h; error; last_iteration
0.1; 0.0384615; 12.6181; 19
0.01; 0.0384615; 4.96437; 363
0.001; 0.0384615; 0.594571; 1470
0.0001; 0.0384615; 0.0728419; 2682
1e-05; 0.0384615; 0.0287202; 3895
0.1; 0.0131579; 42.0378; 17
0.01; 0.0131579; 31.9455; 459
0.001; 0.0131579; 8.36606; 5547
0.0001; 0.0131579; 0.876124; 15950
1e-05; 0.0131579; 0.0912385; 26588
0.1; 0.00793651; 71.2315; 17
0.01; 0.00793651; 61.8005; 430
0.001; 0.00793651; 25.3818; 8061
0.0001; 0.00793651; 3.1038; 34307
1e-05; 0.00793651; 0.312525; 63695
0.1; 0.00568182; 100.407; 17
0.01; 0.00568182; 91.3782; 416
0.001; 0.00568182; 48.3162; 9347
0.0001; 0.00568182; 7.15615; 54549
1e-05; 0.00568182; 0.718706; 111964
0.1; 0.00442478; 129.577; 17
0.01; 0.00442478; 120.782; 409
0.001; 0.00442478; 74.7349; 9893
0.0001; 0.00442478; 13.3216; 74761
1e-05; 0.00442478; 1.34284; 169315
0.1; 0.00362319; 158.743; 17
0.01; 0.00362319; 150.098; 405
0.001; 0.00362319; 103.071; 10039
0.0001; 0.00362319; 21.7607; 93787
1e-05; 0.00362319; 3.85995; -1
0.1; 0.00306748; 187.908; 17
0.01; 0.00306748; 179.359; 403
0.001; 0.00306748; 132.39; 9987
0.0001; 0.00306748; 32.4814; 111073
1e-05; 0.00306748; 11.4615; -1
0.1; 0.00265957; 217.071; 17
0.01; 0.00265957; 208.589; 402
0.001; 0.00265957; 162.152; 9852
0.0001; 0.00265957; 45.3572; 126497
1e-05; 0.00265957; 23.6114; -1
0.1; 0.00234742; 246.234; 17
0.01; 0.00234742; 237.806; 401
0.001; 0.00234742; 192.055; 9698
0.0001; 0.00234742; 60.19; 140159
1e-05; 0.00234742; 39.5341; -1
0.1; 0.00210084; 275.397; 17
0.01; 0.00210084; 267.015; 400
0.001; 0.00210084; 221.963; 9551
0.0001; 0.00210084; 76.7731; 152217
1e-05; 0.00210084; 58.3343; -1
